relative_lateness,prs_score,prs_trend,dispute_rate,response_rate,partial_payment_rate,amount_tier,days_since_last_contact,active_promise_flag,days_until_promised_date,broken_promise_streak,segment,intervention_type,paid_within_N,customer_id,risk_tier,lateness_bucket
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,True,train-0000-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,channel_escalation,False,train-0001-non_responsive,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,False,train-0002-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,True,train-0003-serial_promiser,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,False,train-0004-non_responsive,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,True,train-0005-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,False,train-0006-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,plan_proposal,False,train-0007-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,soft_reminder,False,train-0008-reliable_always_late,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,link_resend,True,train-0009-degrading,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,True,train-0010-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,soft_reminder,False,train-0011-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,firm_reminder,True,train-0012-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,True,train-0013-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,False,train-0014-non_responsive,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,soft_reminder,False,train-0015-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,False,train-0016-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,False,train-0017-degrading,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,False,train-0018-serial_promiser,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,False,train-0019-serial_promiser,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,False,train-0020-non_responsive,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,False,train-0021-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,True,train-0022-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,False,train-0023-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,soft_reminder,True,train-0024-model_citizen,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,channel_escalation,False,train-0025-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,soft_reminder,True,train-0026-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,True,train-0027-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,False,train-0028-serial_promiser,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,soft_reminder,True,train-0029-degrading,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,False,train-0030-serial_promiser,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,plan_proposal,True,train-0031-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,False,train-0032-reliable_always_late,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,True,train-0033-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,plan_proposal,False,train-0034-reliable_always_late,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,False,train-0035-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,True,train-0036-degrading,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,False,train-0037-serial_promiser,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,soft_reminder,False,train-0038-non_responsive,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,link_resend,False,train-0039-reliable_always_late,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,False,train-0040-non_responsive,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,False,train-0041-serial_promiser,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,plan_proposal,False,train-0042-non_responsive,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,True,train-0043-reliable_always_late,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,False,train-0044-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,True,train-0045-degrading,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,False,train-0046-serial_promiser,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,False,train-0047-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,False,train-0048-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,False,train-0049-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,True,train-0050-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,True,train-0051-degrading,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,False,train-0052-degrading,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,False,train-0053-serial_promiser,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,none,False,train-0054-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,plan_proposal,False,train-0055-serial_promiser,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,channel_escalation,False,train-0056-reliable_always_late,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,channel_escalation,False,train-0057-serial_promiser,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,True,train-0058-degrading,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,True,train-0059-reliable_always_late,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,True,train-0060-cash_flow_strained_genuine,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,soft_reminder,False,train-0061-reliable_always_late,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Mid-Market,none,False,train-0062-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,none,False,train-0063-disputer,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,Enterprise,firm_reminder,True,train-0064-degrading,near_term,<=0.3
-1.0,0.575,0.0004090909090909078,0.0,0.0,0.0,2,9999,False,-1,0,SMB,soft_reminder,True,train-0065-reliable_always_late,near_term,<=0.3
